direction,relation,relex_relcos,sentence,term1,term2
MYASTHENIA GRAVIS diagnosis INTRAVENOUS EDROPHONIUM CHLORIDE,diagnosis,1.0,Maximum velocity and amplitude of repetitive ( 1 per second) 30 degrees saccadic eye movements were quantitatively assessed for 4 minutes before and after INTRAVENOUS EDROPHONIUM CHLORIDE as a diagnostic test for MYASTHENIA GRAVIS,MYASTHENIA GRAVIS,INTRAVENOUS EDROPHONIUM CHLORIDE
no_relation,causes,0.442325868464691,"Clonidine, oxymetazoline, tetrahydozoline, brimonidine, tizanidine; barbiturates; opioids; benzodiazepines  Give naloxone for suspected OPIOID OVERDOSE; consider FLUMAZENIL for benzodiazepine overdose Cholinergic (pinpoint pupils; variable HR; sweaty skin; abdominal cramps and diarrhea)  Organophosphate and carbamate insecticides; chemical warfare nerve agents  Give atropine and pralidoxime; obtain measurements of serum and RBC cholinesterase activity Anticholinergic (agitation; delirium; dilated pupils; tachycardia; decreased peristalsis; dry, flushed skin)  Atropine and related drugs; antihistamines; carbamazepine; phenothiazines; tricyclic antidepressants  Obtain immediate ECG.",OPIOID OVERDOSE,FLUMAZENIL
CEFACLOR treats PHARYNGITIS,treats,0.9760921603577252,Patients with otitis media received approximately 40 mg/kg/day of cefaclor or amoxicillin trihydrate for ten days to three weeks; patients with PHARYNGITIS received 20 mg/kg/day of CEFACLOR or penicillin V potassium for ten days.,PHARYNGITIS,CEFACLOR
ADALIMUMAB treats RHEUMATOID ARTHRITIS,treats,0.981980506061966,The objective of this study is to perform a cost effective analysis of 86 patients with RHEUMATOID ARTHRITIS in therapy with ADALIMUMAB 40 mg every other week and etanercept 50 mg/week for two years in a population of patients observed in clinical practice.,RHEUMATOID ARTHRITIS,ADALIMUMAB
AZATHIOPRINE treats RHEUMATOID ARTHRITIS,treats,0.975900072948533,AZATHIOPRINE is an immunosuppressive drug that is used to treat RHEUMATOID ARTHRITIS,RHEUMATOID ARTHRITIS,AZATHIOPRINE
CLOZAPINE treats SCHIZOPHRENIA,treats,0.923380516876639,"Thus, the present data support the hypothesis that the therapeutic effects of CLOZAPINE in this primate model and perhaps in SCHIZOPHRENIA may be related at least in part to the restoration of DA tone in the prefrontal cortex.",SCHIZOPHRENIA,CLOZAPINE
ATROPINE treats BRADYCARDIA,treats,0.948683298050514,"Maintenance of airway, breathing, and circulation; fluids and vasopressors for hypotension; multiple dose activated charcoal; calcium chloride or calcium gluconate for hypotension and bradydysrhythmias, ATROPINE or isoproterenol for BRADYCARDIA",BRADYCARDIA,ATROPINE
METHENAMINE HIPPURATE treats SYMPTOMATIC URINARY TRACT INFECTION,treats,0.964763821237732,The incidence of SYMPTOMATIC URINARY TRACT INFECTION also decreased during treatment with METHENAMINE HIPPURATE,SYMPTOMATIC URINARY TRACT INFECTION,METHENAMINE HIPPURATE
GLUCOSAMINE SULPHATE treats OSTEOARTHRITIS OF THE KNEE,treats,0.9918365981341758,"trial  Lancet  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  New England Journal of Medicine  Glucosamine, chondroitin sulfate, and the two in combination for painful knee osteoarthritis  Osteoarthritis and Cartilage  A randomized, placebo controlled, cross over study of ginger extracts and ibuprofen in osteoarthritis  Rheumatic Diseases Clinics of North America  Homeopathy and rheumatic disease  Rheumatology (Oxford)  A randomized, double blind, placebo controlled trial of GLUCOSAMINE SULPHATE as an analgesic in OSTEOARTHRITIS OF THE KNEE  Review  Alternative Medicine Review  Natural treatments for osteoarthritis  Arthritis and.",OSTEOARTHRITIS OF THE KNEE,GLUCOSAMINE SULPHATE
MYCOBACTERIUM LEPRAE causes LEPROSY,causes,0.9950371902099888,LEPROSY (hanseniasis) is caused by chronic infection with MYCOBACTERIUM LEPRAE (M. leprae.,MYCOBACTERIUM LEPRAE,LEPROSY
YERSINIA PESTIS causes PLAGUE,causes,1.0,YERSINIA PESTIS the causative agent of PLAGUE has a feature of forming multicellular aggregates at liquid air interface around the wall of glass tube.,YERSINIA PESTIS,PLAGUE
no_relation,diagnosis,0.486664263392288,"Using standardised computer assisted face to face interviews, we determined and compared the prevalence of doctor diagnosed ATOPIC DISEASES (hay fever, asthma, ATOPIC DERMATITIS) in the study subjects and veterinarian diagnosed allergies in their pets.",ATOPIC DERMATITIS,ATOPIC DISEASES
OCTREOTIDE treats REFRACTORY DIARRHOEA,treats,0.9897433186107868,Treatment of REFRACTORY DIARRHOEA in AIDS with acetorphan and OCTREOTIDE: a randomized crossover study.,REFRACTORY DIARRHOEA,OCTREOTIDE
FLUTAMIDE treats HIRSUTISM,treats,0.99654575824488,17of 18 women with hirsutism treated with combination therapy of FLUTAMIDE 250 mg twice daily and an oral contraceptive pill had a rapid and marked reduction in their HIRSUTISM score.,HIRSUTISM,FLUTAMIDE
no_relation,causes,0.9,Patients with a history of BEESTING ALLERGY may have a higher risk of a HYPERSENSITIVITY REACTION with paclitaxel treatment.,BEESTING ALLERGY,HYPERSENSITIVITY REACTION
IMIPRAMINE treats DEPRESSION,treats,0.8834522085987719,"With successful treatment of the patient's depression with IMIPRAMINE the tremors disappeared, but slowly began again after drug noncompliance resulted in recurrence of DEPRESSION.",DEPRESSION,IMIPRAMINE
no_relation,causes,0.787838597158335,"When the menstrual cycle is altered, FERTILITY is reduced, and medical conditions such as osteoporosis and ENDOMETRIAL HYPERPLASIA can result.",FERTILITY,ENDOMETRIAL HYPERPLASIA
MYOCLONIC SEIZURE causes KINDLED SEIZURES,causes,0.845154254728516,These results suggest that the CSH induced long term inhibition of KINDLED SEIZURES is the result of an interaction between the MYOCLONIC SEIZURE and a subsequent kindled seizure.,KINDLED SEIZURES,MYOCLONIC SEIZURE
OVARIES location OVARIAN ADENOCARCINOMA,location,0.944911182523068,"The autologous membrane bound antibodies strongly recognized cell surface antigens on four human ovarian cell lines and four surgical specimens of human OVARIAN ADENOCARCINOMA but did not react with normal human OVARIES non ovarian normal and neoplastic tissues, or non ovarian human cell lines by indirect immunofluorescence assay.",OVARIES,OVARIAN ADENOCARCINOMA
SKIN location PERSPIRATION,location,0.980196058819607,"It might take at least 12 days, when the pH of nitrite solution is lowered, for the concentration of NO to reach a level sufficiently high to activate guanylyl cyclase and so it seems unlikely that naturally circulating nitrite is involved in vasodilation in ischemic tissue through its conversion into NO. It is more realistic to consider that NO is produced at biologically significant concentrations from nitrite in PERSPIRATION on the SKIN",SKIN,PERSPIRATION
SMALL JOINTS OF THE HANDS location ARTHRITIS,location,0.8728715609439692,"The clinical features of the disease were morning stiffness, pain and limitation of motion of the dorsolumbar spine in four of the five members, associated with arthritis of the SMALL JOINTS OF THE HANDS in three, shoulder periARTHRITIS in two and costal cartilage pain in one.",SMALL JOINTS OF THE HANDS,ARTHRITIS
20 WEEK BINGE PROGRAMME treats BINGE EATING,treats,0.848528137423857,"The patients were enrolled into three different programmes: a 14 week LEARN programme (672 patients), a 16 week MOB programme for the morbidly obese (259 patients), or a 20 WEEK BINGE PROGRAMME for subjects affected by BINGE EATING (137 patients.",BINGE EATING,20 WEEK BINGE PROGRAMME
BONE location OSTEOMYELITIS,location,0.993883734673619,"As therapeutic agents of choice in the treatment of complicated infections, glycopeptide antibiotics are often preferentially used in cases of OSTEOMYELITIS an infection located in BONE and notoriously difficult to successfully manage.",BONE,OSTEOMYELITIS
JOINT location JOINT EFFUSION,location,0.7947194142390258,It has been reported that JOINT EFFUSION the excessive accumulation of joint fluid in and around the JOINT is related to temporomandibular joint (TMJ) disorders such as pain and disk displacement.,JOINT,JOINT EFFUSION
PV causes GASTROINTESTINAL BLEEDING,causes,0.617213399848368,? High dose aspirin use has been associated with increased GASTROINTESTINAL BLEEDING in patients with PV,GASTROINTESTINAL BLEEDING,PV
PAIN causes ANGINA,causes,0.896258159530272,"A normal ECG taken when a patient is painfree does not rule out unstable angina; a normal ECG taken during pain, although it does not rule out ANGINA suggests that the PAIN is not ischemic.",PAIN,ANGINA
NAPROXEN treats OSTEOARTHRITIS,treats,0.9901475429766742,"of intraarticular hyaluronan in osteoarthritis of the knee  Comparison of the analgesic efficacy and safety of nonprescription doses of naproxen sodium and ibuprofen in the treatment of osteoarthritis of the knee  Lancet  Comparison of lumiracoxib with NAPROXEN and ibuprofen in the Therapeutic Arthritis Research and Gastrointestinal Event Trial (TARGET), cardiovascular outcomes: randomised controlled trial  Pathogenesis and management of pain in OSTEOARTHRITIS  Acupuncture in patients with osteoarthritis of the knee: a randomised trial  Assessment of upper gastrointestinal safety of etoricoxib and diclofenac in patients with osteoarthritis and rheumatoid arthritis in the Multinational Etoricoxib and Diclofenac Arthritis.",OSTEOARTHRITIS,NAPROXEN
no_relation,causes,0.8944271909999159,"The duration and severity of BA, the presence of allergy determined by skin tests and the BRONCHIAL HYPERREACTIVITY to METHACHOLINE inhalation challenge were observed on the first day of study.",BRONCHIAL HYPERREACTIVITY,METHACHOLINE
no_relation,causes,0.342997170285018,"On the other hand PRIMARY SKIN DISEASES such as PSORIASIS atopic dermatitis, acune vulgaris, chronic idiopathic urticaria and alopecia areata may induce psychologic features.",PRIMARY SKIN DISEASES,PSORIASIS
PRIMARY MENINGEAL MELANOMA causes NEUROLOGICAL SYMPTOMS,causes,0.970142500145332,We describe a patient with cutaneous melanosis who presented with NEUROLOGICAL SYMPTOMS due to a large PRIMARY MENINGEAL MELANOMA,NEUROLOGICAL SYMPTOMS,PRIMARY MENINGEAL MELANOMA
FLUOXETINE treats OBSESSIVE COMPULSIVE DISORDER,treats,0.987878339907213,"Fontaine R, Chouinard G. An open clinical trial of FLUOXETINE in the treatment of OBSESSIVE COMPULSIVE DISORDER",OBSESSIVE COMPULSIVE DISORDER,FLUOXETINE
ANTIANGINAL EFFICACY diagnosis ANGINA DIARES,diagnosis,0.845154254728516,"ANTIANGINAL EFFICACY was assessed with ANGINA DIARES investigators, and patients global evaluations and with treadmill exercise test during placebo run in period and after 8 weeks of the therapy.",ANGINA DIARES,ANTIANGINAL EFFICACY
no_relation,causes,0.5962847939999439,In most cases of small cell LUNG CARCINOMAS (SCLC) phenotypic features compatible with a NEUROENDOCRINE DIFFERENTIATION status can be identified by monoclonal (MOC) antibody based immunohistological procedures.,NEUROENDOCRINE DIFFERENTIATION,LUNG CARCINOMAS (SCLC)
no_relation,causes,0.8219949365267859,"A 29 year old man with a marfanoid habitus, peculiar mucosal neuromas of the lips and tongue, high arched palate, hyperplastic CORNEAL NERVES AND HYPERTENSION was found at operation to have medullary carcinoma of the thyroid, PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA",CORNEAL NERVES AND HYPERTENSION,PARATHYROID HYPERPLASIA AND PHEOCHROMOCYTOMA
PROBIOTIC BACTERIA treats CARIES,treats,0.625543242171224,The aim of this study was to evaluate the effect of milk supplemented with PROBIOTIC BACTERIA and fluoride on CARIES development and general health in preschool children.,PROBIOTIC BACTERIA,CARIES
GLUTEN FREE DIET treats CELIAC DISEASE,treats,0.984731927834662,"? Adherence to a GLUTEN FREE DIET in patients with CELIAC DISEASE can lead to the correction of iron deficiency anemia and the replacement of iron stores, and it can prevent the recurrence of iron deficiency.",GLUTEN FREE DIET,CELIAC DISEASE
FLUORIDE causes DENTAL FLUOROSIS,causes,0.898026510133875,"It was concluded (1) that CFI values were reduced following a minor adjustment to the fluoride concentration in drinking water, (2) that dental fluorosis develops during the maturation stage of enamel development, (3) that the development of DENTAL FLUOROSIS may occur over a period of 16 to 24 months, commencing from 12 to 32 months following enamel secretion, and (4) that Dean's index is a suitable instrument for monitoring the effects on dental fluorosis of minor adjustments to the FLUORIDE concentration in drinking water.",FLUORIDE,DENTAL FLUOROSIS
no_relation,causes,0.320256307610174,SEPSIS refers to a SYSTEMIC INFLAMMATORY RESPONSE SYNDROME resulting from a microbial infection.,SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,SEPSIS
VIRUS causes MUCOUS TRANSPORT DURING VIRUS INFECTION,causes,0.774596669241483,Disturbances in tracheal MUCOUS TRANSPORT DURING VIRUS INFECTION appear to depend upon the type of virus and are most severe in influenza A and respiratory syncytial VIRUS infection.,VIRUS,MUCOUS TRANSPORT DURING VIRUS INFECTION
ENDOMETRIAL CARCINOMA causes METRORRHAGIA,causes,0.98058067569092,"The simple hyperplasia predominates in the perimenopause, while the ENDOMETRIAL CARCINOMA was the most frequent cause for METRORRHAGIA in the postmenopausal women.",METRORRHAGIA,ENDOMETRIAL CARCINOMA
ONDANSETRON treats ACUTE EMESIS,treats,0.9901475429766742,"Ondansetron was superior to high dose metoclopramide in controlling ACUTE EMESIS and nausea, and there was a significant patient preference for ONDANSETRON",ACUTE EMESIS,ONDANSETRON
DEFICIENCY causes PROTEIN CALORIE MALNUTRITION,causes,0.911684611677103,"The types of malnutrition caused by DEFICIENCY and the most frequently encountered in the developing countries are PROTEIN CALORIE MALNUTRITION avitaminoses, and mineral and iron deficiencies.",PROTEIN CALORIE MALNUTRITION,DEFICIENCY
FENTANYL treats POSTOPERATIVE PAIN,treats,0.8838834764831841,"Gourlay GK, Kowalski SR, Plummer JL et al. The efficacy of transdermal fentanyl in the treatment of POSTOPERATIVE PAIN: a double blind comparison of FENTANYL and placebo systems.",POSTOPERATIVE PAIN,FENTANYL
TUBERCULOSIS diagnosis TUBERCULIN TESTING,diagnosis,0.9594032236002472,TUBERCULOSIS was excluded by TUBERCULIN TESTING and bronchoalveolar lavage in both cases.,TUBERCULOSIS,TUBERCULIN TESTING
MECHANICALLY INDUCED HYPERVENTILATION treats RESPIRATORY ALKALOSIS,causes,0.643267520902677,MECHANICALLY INDUCED HYPERVENTILATION is used in the treatment of newborn infants with persistent pulmonary hypertension syndrome to induce RESPIRATORY ALKALOSIS which may attenuate their pulmonary vasoconstriction.,RESPIRATORY ALKALOSIS,MECHANICALLY INDUCED HYPERVENTILATION
DOXEPIN treats DEPRESSION,treats,0.8427009716003839,"Dunner DL, Cohn JB, Walshe T et al. Two combined, multicenter double blind studies of paroxetine and DOXEPIN in geriatric patients with major DEPRESSION",DEPRESSION,DOXEPIN
no_relation,diagnosis,0.34815531191139604,Serum or ASCITES ALPHA FETOPROTEIN (AFP) from patients with HEPATOCELLULAR CARCINOMA and from a cord blood were analyzed by affinity electrophoresis with two lectins mixed in agarose gel in a combination of concanavalin A (Con A) and Lens culinaris agglutinin A (LCA A) or of erythroagglutinating phytohemagglutinin (E PHA) and Allomyrina dichotoma lectin (allo A.,ASCITES ALPHA FETOPROTEIN,HEPATOCELLULAR CARCINOMA
no_relation,causes,0.6488856845230501,Sixteen cirrhotic patients with SUPERIMPOSED HEPATOCELLULAR CARCINOMA in whom ASCITES was of uncertain etiology were considered separately.,ASCITES,SUPERIMPOSED HEPATOCELLULAR CARCINOMA
HYDROCHLOROTHIAZIDE treats HYPERTENSION,treats,0.9901475429766742,The efficacy and tolerability of a fixed combination of 5 mg of cilazapril and 12.5 mg of HYDROCHLOROTHIAZIDE against HYPERTENSION was evaluated in 36 patients (26 men and 10 women) between 33 68 years old.,HYPERTENSION,HYDROCHLOROTHIAZIDE
CYTARABINE treats LEUKEMIA,treats,0.98058067569092,Eleven patients with LEUKEMIA refractory to conventional therapy were treated with high doses of CYTARABINE (3 g/m2 intravenously every 12 hours for six days) followed by daunorubicin (30 mg/m2/day intravenously for three days.,LEUKEMIA,CYTARABINE
HYPERTENSION causes PHEOCHROMOCYTOMA,causes,0.938314863256836,The authors report a case of PHEOCHROMOCYTOMA revealed by a de novo appeared HYPERTENSION in a young female patient at her 3rd trimester of pregnancy.,HYPERTENSION,PHEOCHROMOCYTOMA
DACARBAZINE treats METASTATIC MALIGNANT MELANOMA,treats,0.8888888888888891,"Phase III study of concurrent biochemotherapy with cisplatin, vinblastine, dacarbazine, interleukin 2, and interferon alfa 2b versus cisplatin, vinblastine, and DACARBAZINE alone in patients with METASTATIC MALIGNANT MELANOMA (summary last modified 10/1999.",METASTATIC MALIGNANT MELANOMA,DACARBAZINE
TYPE I ALLERGIC REACTIONS causes VERNAL KERATOCONJUNCTIVITIS,causes,0.493196961916072,"When topically applied to the eye before allergen exposure, ocular sodium cromoglycate prevents many of the signs and symptoms associated with TYPE I ALLERGIC REACTIONS (which includes hayfever, acute allergic and chronic allergic conjunctivitis, and VERNAL KERATOCONJUNCTIVITIS) and giant papillary conjunctivitis.",VERNAL KERATOCONJUNCTIVITIS,TYPE I ALLERGIC REACTIONS
ALLERGY causes ALLERGIC ASTHMA,causes,0.8677218312746251,"In many aspects, respiratory allergies, i.e., ALLERGIC ASTHMA and rhinitis, represent the hallmarks of ALLERGY",ALLERGIC ASTHMA,ALLERGY
no_relation,causes,0.36115755925730697,Analysis of hereditary PHEOCHROMOCYTOMA two gene tests are established: detection of MULTIPLE ENDOCRINE NEOPLASIA TYPE 2 (MEN 2) using mutational analysis of RET gene and detection of von Hippel Lindau syndrome using mutational analysis of VHL gene.,PHEOCHROMOCYTOMA,MULTIPLE ENDOCRINE NEOPLASIA TYPE 2
no_relation,location,0.35921060405355,"This retrospective study correlated the mammographic manifestations and averaged nuclear grades using Holland, Van Nuys, and Lagios classifications in 37 cases of ductal carcinoma IN SITU (DCIS; microcalcifications alone were seen in 59.4%, MICROCALCIFICATIONS with associated mass in 19%, and mass alone in 21.6%.",MICROCALCIFICATIONS,IN SITU (DCIS)
FACTOR VIII GENE causes HAEMOPHILIA A,causes,0.875,Although this is more technically demanding for patients with haemophilia A because of the greater complexity of the FACTOR VIII GENE the recent description of X chromosome inversions as a cause of severe HAEMOPHILIA A in almost 50% of patients has led to the ready detection of these inversions in such families with associated precise carrier detection.,HAEMOPHILIA A,FACTOR VIII GENE
no_relation,causes,0.666666666666667,Apoptosis and its dysregulation have been implicated in dysplastic and ineffective hematopoiesis and the neoplastic transformation of BONE MARROW in MYELODYSPLASTIC SYNDROME (MDS.,BONE MARROW,MYELODYSPLASTIC SYNDROME
(IODINE AND TROPOMYOSINE ALLERGY causes ALLERGIC REACTIONS,causes,0.995893206467704,"Physiological role and occurrence of iodine in the organism was reviewed, moreover, ALLERGIC REACTIONS caused by iodine containing chemicals (IODINE AND TROPOMYOSINE ALLERGY",(IODINE AND TROPOMYOSINE ALLERGY,ALLERGIC REACTIONS
no_relation,causes,0.34188172937891403,EPITHELIAL OVARIAN CANCER (EOC) arises from the epithelial layer covering the surface of OVARIES and i.p.,OVARIES,EPITHELIAL OVARIAN CANCER
PHEOCHROMOCYTOMA RESECTION causes POSTOPERATIVE HYPERTENSION,causes,0.749268649265355,"? According to an expert review, POSTOPERATIVE HYPERTENSION occurs in up to 50% of patients after PHEOCHROMOCYTOMA RESECTION ( 29.",POSTOPERATIVE HYPERTENSION,PHEOCHROMOCYTOMA RESECTION
ALOPECIA AREATA causes HAIR LOSS,causes,0.979957887012223,"Prognosis  In most cases that begin with a small number of patches of hair loss, hair grows back after a few months to a year.[8] In cases with a greater number of patches, hair can either grow back or progress to alopecia totalis or, in rare cases, universalis.[8]  Effects of ALOPECIA AREATA are mainly psychological (loss of self image due to HAIR LOSS.",HAIR LOSS,ALOPECIA AREATA
S TYPHI causes ENTERIC FEVER,causes,0.650944554904119,"The specificity of these antibodies was tested by immunoblotting with a panel of crude protein antigens from 12 bacteria causing enteric fever and ENTERIC FEVER like illness: S TYPHI S. paratyphi A, S. paratyphi B, S. paratyphi C, S. choleraesuis, S. enteritidis, S. krefeld, S. panama, S. typhimurium, Escherichia coli, Pseudomonas pseudomallei, and Yersinia enterocolitica.",S TYPHI,ENTERIC FEVER
JOINT location SEPTIC ARTHRITIS,location,0.919145030018058,BC]  Specific recommendation: ? Obtain joint fluid from the affected JOINT in all cases of suspected SEPTIC ARTHRITIS,JOINT,SEPTIC ARTHRITIS
PHEOCHROMOCYTOMA causes HEADACHE,causes,0.90913729009699,"Combinations of symptoms can be of value: 2 or more symptoms from the triad of HEADACHE palpitations, and diaphoresis were present in the majority of pheochromocytoma patients, but in a smaller number of non PHEOCHROMOCYTOMA patients.",HEADACHE,PHEOCHROMOCYTOMA
ISONIAZID treats TUBERCULOSIS,treats,0.903696114115064,"After an outbreak of hepatitis in Washington, D.C. in 1970 among a group of persons taking isoniazid to prevent TUBERCULOSIS an ISONIAZID surveillance study was conducted among 13,838 persons in 21 participating health departments.",TUBERCULOSIS,ISONIAZID
no_relation,diagnosis,0.589767824619588,The screening usually consists of measuring thyroxin in dried blood spot specimens followed by measurement of thyrotropin if the results for THYROXIN are suggestive of HYPOTHYROIDISM,HYPOTHYROIDISM,THYROXIN
no_relation,causes,0.5656854249492379,"An important fraction of the patients admitted to NC, as well as to OC and ENTC, for HEADACHE and/or other complaints were found out to have MIGRAINE by means of a simple screening test.",HEADACHE,MIGRAINE
GANGLIOGLIOMA causes SEIZURES,causes,0.9000703207408192,We present a rare case of an adult patient without SEIZURES who is found to have a GANGLIOGLIOMA occurring in the cerebellopontine angle.,SEIZURES,GANGLIOGLIOMA
TOBRAMYCIN 03%/LOTEPREDNOL 05% treats TOTAL OCULAR INFLAMMATION,treats,0.848874687627165,"Tobramycin 0.3%/dexamethasone 0.1% significantly decreased clinical signs of ocular inflammation (ie, blepharitis, discharge, conjunctivitis) and TOTAL OCULAR INFLAMMATION scores when compared with TOBRAMYCIN 03%/LOTEPREDNOL 05% in patients with moderate to severe blepharo keratoconjunctivitis.",TOTAL OCULAR INFLAMMATION,TOBRAMYCIN 03%/LOTEPREDNOL 05%
ORAL PREDNISONE AND CYCLOPHOSPHAMIDE treats INFLAMMATION,treats,0.977355554850442,"Nevertheless, immunosuppressive therapy (pulse IV methylprednisolone followed by ORAL PREDNISONE AND CYCLOPHOSPHAMIDE) can be given to attempt to control INFLAMMATION in patients who develop severe renal disease.",INFLAMMATION,ORAL PREDNISONE AND CYCLOPHOSPHAMIDE
SUBCUTANEOUS TERIPARATIDE treats POSTMENOPAUSAL OSTEOPOROSIS,treats,0.9878291611472622,Studies have shown that SUBCUTANEOUS TERIPARATIDE 20 microg/day is effective in women with POSTMENOPAUSAL OSTEOPOROSIS men with idiopathic or hypogonadal osteoporosis and patients with glucocorticoid induced osteoporosis.,POSTMENOPAUSAL OSTEOPOROSIS,SUBCUTANEOUS TERIPARATIDE
MASTOCYTOSIS causes HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH,causes,0.9282791216329142,"MASTOCYTOSIS is a heterogeneous group of disorders characterized by mast cell HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH nodes, gastrointestinal tract, and skin.",HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH,MASTOCYTOSIS
HUMAN BRAIN TISSUE location SUSPECTED OR ATYPICAL PRION DISEASE,treats,0.4200840252084029,"No beta (A4) amyloid plaques or CAA were found in six marmosets who were older than the injected animals, in four marmosets that had not developed spongiform encephalopathy (SE) having been injected several years previously with HUMAN BRAIN TISSUE from three younger patients with SUSPECTED OR ATYPICAL PRION DISEASE or in 10 younger marmosets who had undergone various neurosurgical procedures.",HUMAN BRAIN TISSUE,SUSPECTED OR ATYPICAL PRION DISEASE
VASOVAGAL SYNCOPE diagnosis ISOPROTERENOL TEST,diagnosis,0.956182887467515,Thus the nitroglycerin test seems to be a useful alternative tool for diagnosis of VASOVAGAL SYNCOPE; it is equally specific but more sensitive and feasible than the ISOPROTERENOL TEST.,VASOVAGAL SYNCOPE,ISOPROTERENOL TEST
no_relation,treats,0.609994281330419,We compared the changes of non specific BRONCHIAL HYPERREACTIVITY to METHACHOLINE UNDW and exercise in 2 groups of patients with mite asthma treated with local immunotherapy (LIT group: 12 patients) and subcutaneous immunotherapy (SIT group: 8 patients) for 1 year.,BRONCHIAL HYPERREACTIVITY,METHACHOLINE
