direction,relation,relex_relcos,sentence,term1,term2
ENDOMETRIOSIS causes CHRONIC PELVIC PAIN,causes,1.0,Comments: • Note that adhesions and some cases of ENDOMETRIOSIS both of which are causes of CHRONIC PELVIC PAIN may not have ultrasound manifestations.,CHRONIC PELVIC PAIN,ENDOMETRIOSIS
no_relation,causes,0.40824829046386296,"CONCLUSION  In older patients with ATRIAL FIBRILLATION who were receiving WARFARIN THERAPY at hospital discharge, a bleeding risk model predicted major bleeding.",ATRIAL FIBRILLATION,WARFARIN THERAPY
ADRENAL CARCINOMA causes RAPID ONSET VIRILIZATION,causes,0.866921446863011,"ADRENAL CARCINOMA often presents with RAPID ONSET VIRILIZATION; it is often associated with systemic symptoms such as fatigue, weakness, and weight loss.",RAPID ONSET VIRILIZATION,ADRENAL CARCINOMA
no_relation,causes,0.676123403782813,"Human alpha fetoproteins were purified from umbilical cord serum and from ASCITES FLUID of a patient with HEPATOMA by affinity chromatography, and their chemical compositions and terminal sequences were compared.",ASCITES FLUID,HEPATOMA
MASTOCYTOSIS causes HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH,causes,0.9282791216329142,"MASTOCYTOSIS is a heterogeneous group of disorders characterized by mast cell HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH nodes, gastrointestinal tract, and skin.",HYPERPLASIA IN THE BONE MARROW LIVER SPLEEN LYMPH,MASTOCYTOSIS
BALANTIDIUM COLI causes BALANTIDIASIS,causes,0.971285862357264,"122 ,   123 ,   i  Balantidiasis  Treatment of BALANTIDIASIS   +    caused by  BALANTIDIUM COLI ; drug of choice.",BALANTIDIASIS,BALANTIDIUM COLI
no_relation,causes,0.7559289460184542,"However, in 75% of the dogs with CUSHING'S SYNDROME EXOGENOUS DEXAMETHASONE was cleared completely in the 3 hour test.",CUSHING'S SYNDROME,EXOGENOUS DEXAMETHASONE
DIABETES causes DIABETIC NEUROPATHY,causes,1.0,DIABETIC NEUROPATHY is the most frequent complication of DIABETES and the leading cause of polyneuropathy in the Western world.,DIABETIC NEUROPATHY,DIABETES
no_relation,causes,0.33541019662496896,"Gorkin JU, Elijovich F, Dziedzic SW et al. Addition of ACEBUTOLOL TO DIURETICS IN HYPERTENSION",HYPERTENSION,ACEBUTOLOL TO DIURETICS IN
ANTIBIOTIC ASSOCIATED DIARRHEA AND COLITIS causes MILD DIARRHEA TO FATAL COLITIS,causes,0.8660254037844392,"100 ,   101 ,   102 ,   103 ,   104 ,   105    C. difficile  associated diarrhea and colitis (CDAD; also known as ANTIBIOTIC ASSOCIATED DIARRHEA AND COLITIS or pseudomembranous colitis) has been reported with nearly all anti infectives, including lincomycin, and may range in severity from MILD DIARRHEA TO FATAL COLITIS.",MILD DIARRHEA TO FATAL COLITIS,ANTIBIOTIC ASSOCIATED DIARRHEA AND COLITIS
CUTANEOUS VESSEL VASODILATION causes BLOOD FLOW INCREASED,causes,0.9594032236002472,Hoku acupuncture also increased palm temperature suggesting that the BLOOD FLOW INCREASED from CUTANEOUS VESSEL VASODILATION.,CUTANEOUS VESSEL VASODILATION,BLOOD FLOW INCREASED
no_relation,causes,0.4574957109978139,"• About 80% of stones contain calcium, and about 80% OF CALCIUM STONES are composed mostly of calcium oxalate; the rest are CALCIUM PHOSPHATE",80% OF CALCIUM STONES,CALCIUM PHOSPHATE
no_relation,causes,0.904194430179465,Lacunes consist of small vascular lesions with a volume of between 2 and about 30 mm. These lacunar infarctions are determined by an ISCHEMIA caused by obstructive diseases of small terminal VESSELS in the deep areas of the brain.,VESSELS,ISCHEMIA
FIBROMYALGIA causes SIGNIFICANTLY LOWER PRESSURE PAIN THRESHOLDS AT 18,causes,0.997054485501582,"Women with FIBROMYALGIA displayed SIGNIFICANTLY LOWER PRESSURE PAIN THRESHOLDS AT 18 tender point locations as defined by the American College of Rheumatology criteria, as well as lower pressure pain thresholds at five control sites.",SIGNIFICANTLY LOWER PRESSURE PAIN THRESHOLDS AT 18,FIBROMYALGIA
no_relation,causes,0.338061701891407,"With α methyldopa type AIHA, hemolysis usually ceases within 3 wk; however, a positive Coombs' test may persist for > 1 yr. With HAPTEN MEDIATED AIHA HEMOLYSIS ceases when the drug is cleared from the plasma.",HEMOLYSIS,HAPTEN MEDIATED AIHA
no_relation,causes,0.707106781186547,"b ,   c ,   144  A positive reaction may indicate latent infection, prior infection, and/or  M TUBERCULOSIS  disease and may not indicate ACTIVE TB;  c ,   d   individuals with a positive reaction should be considered positive by current public health guidelines and referred for further medical evaluation.",ACTIVE TB,M TUBERCULOSIS
PHEOCHROMOCYTOMA causes HEADACHE,causes,0.90913729009699,"Combinations of symptoms can be of value: 2 or more symptoms from the triad of HEADACHE palpitations, and diaphoresis were present in the majority of pheochromocytoma patients, but in a smaller number of non PHEOCHROMOCYTOMA patients.",HEADACHE,PHEOCHROMOCYTOMA
no_relation,causes,0.547722557505166,"However, despite the additional information provided by MRI, mammography is still an extremely important diagnostic imaging modality, particularly for several common conditions such as ductal carcinoma IN SITU (DCIS) where it has been shown that there is a strong correlation between MICROCALCIFICATION CLUSTERS and malignancy.",MICROCALCIFICATION CLUSTERS,IN SITU (DCIS
no_relation,causes,0.4,"Infectious causes of conjunctivitis should always be investigated, but ALLERGIES and HYPERSENSITIVITY also should be considered if the history is appropriate",ALLERGIES,HYPERSENSITIVITY
MIGRAINE causes HEADACHE,causes,0.830747160735697,"66   This MIGRAINE occurs in adolescents and young adults; typically presents as visual loss or aura, vertigo, ataxia, dysarthria, and dysesthesia lasting up to 45 minutes; and is always followed by a throbbing HEADACHE frequently with vomiting.",HEADACHE,MIGRAINE
no_relation,causes,0.7947194142390258,These results showed that high LAPTM4B expression was associated with progression of ovarian carcinoma and correlated with UNFAVORABLE CLINICAL OUTCOME suggesting that LAPTM4B may be a clinically useful prognostic indicator for OVARIAN CARCINOMA,UNFAVORABLE CLINICAL OUTCOME,OVARIAN CARCINOMA
PART OF WAGR SYNDROME causes MILD TO MODERATE INTELLECTUAL DISABILITY,causes,0.737209780774486,"Although MILD TO MODERATE INTELLECTUAL DISABILITY is usually considered PART OF WAGR SYNDROME (Wilms' tumour (WT), Aniridia, Genital abnormalities, and metal Retardation, due to 11p13 deletion) the neuropsychological profile of the syndrome is little reported in the literature.",MILD TO MODERATE INTELLECTUAL DISABILITY,PART OF WAGR SYNDROME
no_relation,causes,0.707106781186548,"It also interferes with glucose uptake of the organism.[28]  [edit] Special circumstances in management therapy [edit] Drug use during pregnancy and lactation  Pregnant patients who are infected but asymptomatic are advised not to receive treatment for GIARDIA because there are underlying risks in current therapies.[28] For instance, METRONIDAZOLE is rapidly absorbed and easily enters fetal circulation.",GIARDIA,METRONIDAZOLE
no_relation,causes,0.824163383692134,"This indicates that OPN may contribute to LYMPH NODE METASTASIS and its advancement, and that the OPN level in METASTATIC LESION may be a prognostic indicator in uterine cervical cancers",METASTATIC LESION,LYMPH NODE METASTASIS
no_relation,causes,0.7559289460184542,"COMMENTARY  In a very diverse group of patients, with equally diverse risks for seizure recurrence, Marson and colleagues compared early and deferred AED treatment after a first SEIZURE or an early diagnosis of EPILEPSY",SEIZURE,EPILEPSY
no_relation,causes,0.50709255283711,"POSTINFLAMMATORY HYPERPIGMENTATION pityriasis rosea, lichen planus, fixed drug eruption, Addison disease, pinta, syphilis, macular amyloidosis, HEMOCHROMATOSIS and argyria must be distinguished from EDP.",POSTINFLAMMATORY HYPERPIGMENTATION,HEMOCHROMATOSIS
MYCOBACTERIUM LEPRAE causes LEPROSY,causes,1.0,"Hansen's bacillus    (            audio )  [Gerhard H. A. Hansen, Norwegian physician, 1841 1912]  MYCOBACTERIUM LEPRAE  the cause of LEPROSY which Hansen discovered in 1871.",LEPROSY,MYCOBACTERIUM LEPRAE
no_relation,causes,0.919145030018058,"Vomiting, HEPATOMEGALY poor growth, lethargy, diarrhea, and septicemia (usually  Escherichia coli ) develop, as does renal dysfunction (eg, proteinuria, aminoaciduria, FANCONI SYNDROME leading to metabolic acidosis and edema.",HEPATOMEGALY,FANCONI SYNDROME
MERALGIA PARESTHETICA causes PAIN,causes,1.0,"No trauma history in MERALGIA PARESTHETICA Multiple sclerosis  Generally optic neuritis, intranuclear ophthalmoplegia, sensorimotor or cerebellar symptoms before pain, but PAIN can be the presenting symptom.",PAIN,MERALGIA PARESTHETICA
no_relation,causes,0.753778361444409,"Unfortunately the nutritional adequacy of the postoperative diet has frequently been overlooked, and in the months to years that follow, NUTRITIONAL DEFICIENCIES have become apparent, including PROTEIN CALORIE MALNUTRITION and various vitamin and mineral deficiencies contributing to medical illnesses and limiting optimal health.",PROTEIN CALORIE MALNUTRITION,NUTRITIONAL DEFICIENCIES
YELLOW NAIL SYNDROME causes YELLOW NAILS,causes,0.7947194142390258,"all patients with ovarian mass, ascites, and pleural effusion are inoperable; diagnosis requires disappearance of ascites and effusion postoperatively YELLOW NAIL SYNDROME Triad of pleural effusion, lymphedema, and YELLOW NAILS; elements may appear decades apart; pleural fluid has relatively high protein but low LDH; effusion tends to recur, and there is no pleuritic chest pain   Table 60 3.",YELLOW NAIL SYNDROME,YELLOW NAILS
ENDOMETRIAL CANCER causes POSTMENOPAUSAL BLEEDING,causes,0.676123403782813,? Patients who have normal ovulatory cycles without irregular bleeding or are postmenopausal without POSTMENOPAUSAL BLEEDING are at low risk for having ENDOMETRIAL CANCER,POSTMENOPAUSAL BLEEDING,ENDOMETRIAL CANCER
LOFFLER'S SYNDROME causes PERIPHERAL BLOOD EOSINOPHILIA,causes,0.964763821237732,"LOFFLER'S SYNDROME  LOFFLER'S SYNDROME is characterized by absent or mild respiratory symptoms, fleeting migratory pulmonary opacities, and PERIPHERAL BLOOD EOSINOPHILIA",PERIPHERAL BLOOD EOSINOPHILIA,LOFFLER'S SYNDROME
GRAM NEGATIVE SEPSIS causes SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,causes,0.99654575824488,"During GRAM NEGATIVE SEPSIS endotoxin lipopolysaccharide (LPS) may activate host inflammatory responses, resulting in the SYSTEMIC INFLAMMATORY RESPONSE SYNDROME and the adult respiratory distress syndrome.",SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,GRAM NEGATIVE SEPSIS
no_relation,causes,0.303045763365663,Persistent infection of the UTERINE CERVIX with high risk human papillomaviruses (HPV) is causally associated with CANCER OF THE CERVIX,UTERINE CERVIX,CANCER OF THE CERVIX
ARTHRITIS causes JOINTS,causes,0.43301270189221897,ARTHRITIS developed in all JOINTS in which the prosthesis elongated or broke.,JOINTS,ARTHRITIS
no_relation,causes,0.441726104299386,The histological finding of PSAMMOMA BODIES is important in the diagnosis of DUODENAL SOMATOSTATINOMAS,PSAMMOMA BODIES,DUODENAL SOMATOSTATINOMAS
no_relation,causes,0.707106781186547,"1   If the tachycardia is regular and comparison with a baseline electrocardiogram shows that the QRS complex is identical to that during sinus rhythm, the patient may have supraventricular TACHYCARDIA (SVT) with bundle branch block (BBB) or antidromic ATRIOVENTRICULAR REENTRANT TACHYCARDIA (AVRT.",TACHYCARDIA,ATRIOVENTRICULAR REENTRANT TACHYCARDIA
NICOTINE causes DEPENDENT SMOKERS,causes,0.8846517369293829,"Contrary to our previous findings that cimetidine decreased the total body clearance of nicotine by 30% in a population of non smokers, in the heavily DEPENDENT SMOKERS cimetidine did not appear to alter NICOTINE elimination.",NICOTINE,DEPENDENT SMOKERS
CONVENTIONAL INTENSITY WARFARIN THERAPY treats RECURRENT VENOUS THROMBOEMBOLISM,treats,0.9950371902099888,Comparison of low intensity warfarin therapy with CONVENTIONAL INTENSITY WARFARIN THERAPY for long term prevention of RECURRENT VENOUS THROMBOEMBOLISM,RECURRENT VENOUS THROMBOEMBOLISM,CONVENTIONAL INTENSITY WARFARIN THERAPY
CLINDAMYCIN VS PYRIMETHAMINE treats TOXOPLASMIC ENCEPHALITIS,treats,0.9970544855015808,"Katlama C, De Wit S, O'Doherty E et al. Pyrimethamine CLINDAMYCIN VS PYRIMETHAMINE sulfadiazine as acute and long term therapy for TOXOPLASMIC ENCEPHALITIS in patients with AIDS.",TOXOPLASMIC ENCEPHALITIS,CLINDAMYCIN VS PYRIMETHAMINE
URSODIOL treats GALLSTONES,treats,0.971285862357264,"Successful dissolution of gallstones with URSODIOL occurs rarely in patients with calcified GALLSTONES prior to treatment, those who develop stone calcification or gallbladder nonvisualization during treatment, and those with gallstones &gt;20 mm in greatest diameter.",GALLSTONES,URSODIOL
FOLIC ACID treats NEURAL TUBE DEFECTS,treats,0.99654575824488,The results of the MRC Vitamin Study have established the specific role of FOLIC ACID in the prevention of NEURAL TUBE DEFECTS,NEURAL TUBE DEFECTS,FOLIC ACID
no_relation,treats,0.337526370277807,MYCOBACTERIUM KANSASII and Other MYCOBACTERIAL INFECTIONS  Treatment of  M. kansasii    +    infections in conjunction with other antimycobacterials.,MYCOBACTERIAL INFECTIONS,MYCOBACTERIUM KANSASII
INTRAVENOUS DANTROLENE treats MALIGNANT HYPERTHERMIA,treats,0.557086014531156,In one group of four pigs sensitive to MALIGNANT HYPERTHERMIA (MHS) a dose response to INTRAVENOUS DANTROLENE was determined by quantitation of toe twitch tension.,MALIGNANT HYPERTHERMIA,INTRAVENOUS DANTROLENE
RIFAPENTINE treats PULMONARY TUBERCULOSIS,treats,1.0,"Tam CM, Chan SL, Lam CW et alRIFAPENTINE and isoniazid in the continuation phase of treating PULMONARY TUBERCULOSIS",PULMONARY TUBERCULOSIS,RIFAPENTINE
[IV AMPHOTERICIN B] treats [CULTURE PROVEN CANDIDEMIA],treats,0.9838699100999068,Voriconazole has proven to be as effective as a regimen of [IV AMPHOTERICIN B] followed by oral fluconazole in patients with [CULTURE PROVEN CANDIDEMIA],[CULTURE PROVEN CANDIDEMIA],[IV AMPHOTERICIN B]
INSULIN THERAPY treats TYPE 2 DIABETES,treats,0.986393923832143,"Unfortunately, the majority of CKD patients with TYPE 2 DIABETES eventually require INSULIN THERAPY.",TYPE 2 DIABETES,INSULIN THERAPY
1 MG DEXAMETHASONE SUPPRESSION treats CUSHING'S SYNDROME,treats,0.34874291623145803,"• In evaluating women for CUSHING'S SYNDROME vs. polycystic ovary syndrome, 1 MG DEXAMETHASONE SUPPRESSION or midnight cortisol was found to have better discriminatory ability than UFC ( 51.",CUSHING'S SYNDROME,1 MG DEXAMETHASONE SUPPRESSION
no_relation,treats,0.474341649,"prolonged QT interval, torsades de pointes)  1  Concomitant use contraindicated  1    Digoxin Increased digoxin plasma concentrations  1  If used concomitantly, monitor digoxin plasma concentrations  1    Ergot alkaloids (ergotamine, dihydroergotamine) Possible pharmacokinetic interaction (increased plasma concentrations of ergot alkaloids resulting in ergotism)  1  Concomitant use contraindicated  1    Glipizide No clinically important pharmacokinetic interactions; HYPOGLYCEMIA reported  1  Dosage adjustments not needed; monitor BLOOD GLUCOSE CONCENTRATIONS according to current recommendations for patients with diabetes  1    Halofantrine.",HYPOGLYCEMIA,BLOOD GLUCOSE CONCENTRATIONS
no_relation,treats,0.668153104781061,"Among the compounds tested, 1 (2 hydroxy 3 (4 phenylpiperidin 1 yl) propylpyrrolidin 2 one (5) was the most active in the PROPHYLACTIC ANTIARRHYTHMIC ACTIVITY in ADRENALINE INDUCED ARRHYTHMIA in anesthetized rats.",ADRENALINE INDUCED ARRHYTHMIA,PROPHYLACTIC ANTIARRHYTHMIC ACTIVITY
AMPHOTERICIN B treats NEUTROPENIA,treats,0.9918365981341752,"The study by Boogaerts and colleagues, although limited by its open design and a slightly older amphotericin B patient group, showed that empiric itraconazole was as effective as empiric AMPHOTERICIN B for eliminating fever and NEUTROPENIA in patients with hematologic cancer.",NEUTROPENIA,AMPHOTERICIN B
OLANZAPINE treats DEMENTIA RELATED PSYCHOSIS,treats,0.9332565253,"Safety and efficacy not established in children   1 ,   35  Geriatric Use  Safety in patients ≥65 years of age with schizophrenia does not appear to differ from that in younger adults with schizophrenia; however, tolerability profile of OLANZAPINE in geriatric patients with DEMENTIA RELATED PSYCHOSIS may differ from that in younger patients with schizophrenia.",DEMENTIA RELATED PSYCHOSIS,OLANZAPINE
no_relation,treats,0.811107105653813,Treatment with C1 inhibitor concentrate in ABDOMINAL PAIN attacks of patients with HEREDITARY ANGIOEDEMA,ABDOMINAL PAIN,HEREDITARY ANGIOEDEMA
CALCITONIN treats HYPERCALCEMIA OF MALIGNANCY,treats,0.9878291611472622,"Other agents used in the second line treatment of HYPERCALCEMIA OF MALIGNANCY include plicamycin, CALCITONIN gallium nitrate, and the glucocorticoids.",HYPERCALCEMIA OF MALIGNANCY,CALCITONIN
AMPICILLIN treats SALMONELLA ISOLATES,treats,0.843274042711568,"SALMONELLA ISOLATES were found to be susceptible to chloramphenicol, kanamycin, AMPICILLIN and tetracycline.",SALMONELLA ISOLATES,AMPICILLIN
ERGONOVINE treats VASOSPASTIC ANGINA,treats,0.936585811581694,"To investigate the mechanism of coronary spasm, we compared the action of acetylcholine with that of ERGONOVINE in 11 patients with VASOSPASTIC ANGINA and in 15 patients with chest pain (group 2",VASOSPASTIC ANGINA,ERGONOVINE
ALPRAZOLAM treats PANIC DISORDER,treats,0.997458699830735,"Nagy LM, Krystal JH, Woods SW et al. Clinical and medication outcome after short term ALPRAZOLAM and behavioral group treatment of PANIC DISORDER",PANIC DISORDER,ALPRAZOLAM
DIETHYLENETRIAMINEPENTAACETIC ACID treats TUMORS,treats,0.9258200997725508,Antibodies modified on the oligosaccharides with either a peptide labeled with iodine 125 or a DIETHYLENETRIAMINEPENTAACETIC ACID chelate with indium 111 localize into target TUMORS more efficiently than the same antibody radiolabeled on either tyrosines or lysines.,TUMORS,DIETHYLENETRIAMINEPENTAACETIC ACID
[RIBOFLAVIN] treats [MIGRAINE],treats,0.997458699830735,"[RIBOFLAVIN] has been rigorously studied and has demonstrated a reduction of [MIGRAINE] days and hours by 44%, although with no reduction in intensity of the headache.",[MIGRAINE],[RIBOFLAVIN]
METHENAMINE HIPPURATE treats SYMPTOMATIC URINARY TRACT INFECTION,treats,0.964763821237732,The incidence of SYMPTOMATIC URINARY TRACT INFECTION also decreased during treatment with METHENAMINE HIPPURATE,SYMPTOMATIC URINARY TRACT INFECTION,METHENAMINE HIPPURATE
no_relation,treats,0.6019292654288461,METHOTREXATE followed by misoprostol may also be used to terminate early PREGNANCY,PREGNANCY,METHOTREXATE
FLUTICASONE PROPIONATE AEROSOL treats MILD TO MODERATE ASTHMA,treats,1.0,FLUTICASONE PROPIONATE AEROSOL for the treatment of adults with MILD TO MODERATE ASTHMA,MILD TO MODERATE ASTHMA,FLUTICASONE PROPIONATE AEROSOL
ANTIEPILEPTIC DRUG TREATMENT treats EPILEPSY,treats,0.99654575824488,"Marson A, Jacoby A, Johnson A, et al. Immediate versus deferred ANTIEPILEPTIC DRUG TREATMENT for early EPILEPSY and single seizures: a randomised controlled trial.",EPILEPSY,ANTIEPILEPTIC DRUG TREATMENT
EPHEDRINE treats SEASICKNESS,treats,0.99654575824488,As a motion sickness or [SEASICKNESS] remedy when used with [EPHEDRINE] or Pseudoephedrine.,SEASICKNESS,EPHEDRINE
MAINTENANCE CYCLOSPORINE THERAPY treats PSORIASIS,treats,0.995893206467704,"Ellis CN, Fradin MS, Hamilton TA et al. Duration of remission during MAINTENANCE CYCLOSPORINE THERAPY for PSORIASIS: relationship to maintenance dose and degree of improvement during initial therapy.",PSORIASIS,MAINTENANCE CYCLOSPORINE THERAPY
no_relation,treats,0.493196961916072,full immunization against flu provided about a 75 percent effectiveness rate in preventing [HOSPITALIZATIONS] from influenza complications in the 2005 6 and 2006 7 [INFLUENZA] seasons..,[INFLUENZA],[HOSPITALIZATIONS]
SODIUM OXYBATE treats CATAPLEXY,treats,0.9918365981341752,"SODIUM OXYBATE which is more commonly known as Œ≥ hydroxybutyrate (GHB), was once classified as a schedule I control substance but has been approved recently by the Food and Drug Administration (FDA) for the treatment of CATAPLEXY.",CATAPLEXY,SODIUM OXYBATE
PILOCARPINE treats XEROSTOMIA,treats,0.9970544855015808,PILOCARPINE may be prescribed to treat XEROSTOMIA,XEROSTOMIA,PILOCARPINE
RATIONALE • INTRALESIONAL VINBLASTINE treats AIDS ASSOCIATED KS,treats,1.0,RATIONALE • INTRALESIONAL VINBLASTINE has shown efficacy for the treatment of oral or cutaneous KS lesions in patients with AIDS ASSOCIATED KS,AIDS ASSOCIATED KS,RATIONALE • INTRALESIONAL VINBLASTINE
AZELAIC ACID treats ACNE VULGARIS,treats,0.997458699830735,Webster G: Combination AZELAIC ACID therapy for ACNE VULGARIS.,ACNE VULGARIS,AZELAIC ACID
ACEBUTOLOL treats HYPERTENSION,treats,0.9918365981341752,ACEBUTOLOL in the treatment of patients with HYPERTENSION and renal functional impairment.,HYPERTENSION,ACEBUTOLOL
CLONAZEPAM treats PANIC DISORDER,treats,0.9970544855015808,The alprazolam to CLONAZEPAM switch for the treatment of PANIC DISORDER,PANIC DISORDER,CLONAZEPAM
no_relation,treats,0.31622776601683805,Alternative to penicillin G for treatment of YAWS caused by  TREPONEMA PERTENUE.,YAWS,TREPONEMA PERTENUE
LIDOCAINE treats PAIN,treats,0.9897433186107868,This study concluded that the addition of LIDOCAINE significantly reduced the PAIN felt in the circulatory tract selected for the injection of propofol.,PAIN,LIDOCAINE
INTRAVENOUS VERAPAMIL THERAPY treats IMMINENT MYOCARDIAL INFARCTION,treats,0.9760921603577252,"Hasin Y, Freiman I, Schwarz T et al. INTRAVENOUS VERAPAMIL THERAPY in IMMINENT MYOCARDIAL INFARCTION",IMMINENT MYOCARDIAL INFARCTION,INTRAVENOUS VERAPAMIL THERAPY
