,direction,relation,relex_relcos,sentence,term1,term2
30,CORNELIA DE LANGE SYNDROME causes SYNOPHRYS,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
31,CORNELIA DE LANGE SYNDROME causes SYNOPHRYS,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
32,no_relation,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
33,CORNELIA DE LANGE SYNDROME causes SYNOPHRYS,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
34,CORNELIA DE LANGE SYNDROME causes SYNOPHRYS,causes,0.8834522085987719,"The patients showed the characteristic facies of the CORNELIA DE LANGE SYNDROME with SYNOPHRYS long curly eyelashes and small upturned nose, and physical features, including generalized hirsutism, monodactyly, syndactyly and clinodactyly.",SYNOPHRYS,CORNELIA DE LANGE SYNDROME
35,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
36,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
37,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
38,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
39,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
40,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
41,L DOPA treats PARKINSON'S DISEASE,treats,0.9797958971132712,"Dyskinesias occur in the majority of patients with PARKINSON'S DISEASE chronically treated with L DOPA and also occur in several nonhuman primate species after 1 methyl 4phenyl 1,2,3,6 tetrahydropyridine (MPTP) and L DOPA treatment.",PARKINSON'S DISEASE,L DOPA
42,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
43,no_relation,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
44,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
45,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
46,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
47,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
48,ESCHERICHIA COLI ENDOTOXIN causes ENDOTOXEMIA,causes,0.948683298050514,ENDOTOXEMIA was evoked by bolus injection of ESCHERICHIA COLI ENDOTOXIN (2 ng/kg body weight) in six healthy subjects to investigate the early kinetics of cytokine release in relation to the development of clinical and hematologic abnormalities frequently seen in gram negative septicemia.,ESCHERICHIA COLI ENDOTOXIN,ENDOTOXEMIA
49,OSTEOARTHRITIS location JOINTS,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
50,no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
51,OSTEOARTHRITIS location JOINTS,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
52,no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
53,no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
54,OSTEOARTHRITIS location JOINTS,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
55,no_relation,location,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
56,PRINZMETAL ANGINA diagnosis ERGONOVINE,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
57,PRINZMETAL ANGINA diagnosis ERGONOVINE,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
58,ERGONOVINE diagnosis PRINZMETAL ANGINA,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
59,PRINZMETAL ANGINA diagnosis ERGONOVINE,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
60,ERGONOVINE diagnosis PRINZMETAL ANGINA,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
61,no_relation,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
62,PRINZMETAL ANGINA diagnosis ERGONOVINE,diagnosis,0.9237604307034007,"During ERGONOVINE test a patient with PRINZMETAL ANGINA presented (in I, aVL, V3 V6) ST downsloping which, after a temporary phase of alternative normalization (AST) beat to beat in V5, progressed to ST upsloping with typical angina.",PRINZMETAL ANGINA,ERGONOVINE
63,SEIZURES causes STATUS EPILEPTICUS,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
64,SEIZURES causes STATUS EPILEPTICUS,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
65,no_relation,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
66,SEIZURES causes STATUS EPILEPTICUS,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
67,no_relation,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
68,no_relation,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
69,SEIZURES causes STATUS EPILEPTICUS,causes,0.577350269189626,A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,SEIZURES,STATUS EPILEPTICUS
70,no_relation,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
71,no_relation,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
72,no_relation,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
73,no_relation,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
74,no_relation,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
75,OSTEOARTHRITIS treats JOINTS,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
76,JOINTS treats OSTEOARTHRITIS,treats,0.404519917477945,It is said that the JOINTS of the affected limb by poliomyelitis are protected from the development of OSTEOARTHRITIS,JOINTS,OSTEOARTHRITIS
77,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
78,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
79,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
80,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
81,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
82,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
83,PREDNISOLONE ACETATE treats POSTOPERATIVE INFLAMMATION,treats,0.964901281354015,Diclofenac sodium was found to be as effective as PREDNISOLONE ACETATE for control of POSTOPERATIVE INFLAMMATION and as effective as flurbiprofen for inhibition of intraoperative miosis.,POSTOPERATIVE INFLAMMATION,PREDNISOLONE ACETATE
84,PHEOCHROMOCYTOMA causes HYPERTENSION,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
85,no_relation,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
86,HYPERTENSION causes PHEOCHROMOCYTOMA,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
87,PHEOCHROMOCYTOMA causes HYPERTENSION,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
88,no_relation,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
89,HYPERTENSION causes PHEOCHROMOCYTOMA,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
90,no_relation,causes,0.412081691846067,This case demonstrates a typical presentation of pheochromocytoma and the need to consider PHEOCHROMOCYTOMA early in the differential diagnosis of hypertensive emergency or difficult to control HYPERTENSION,HYPERTENSION,PHEOCHROMOCYTOMA
91,LIVER causes HEPATOCELLULAR CARCINOMA,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
92,no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
93,no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
94,LIVER causes HEPATOCELLULAR CARCINOMA,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
95,no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
96,no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
97,no_relation,causes,0.707106781186547,"Therefore, although serum P III P can be a useful marker in HEPATOCELLULAR CARCINOMA it may possibly be difficult to discriminate it from benign diseases involving the LIVER and biliary tract.",LIVER,HEPATOCELLULAR CARCINOMA
98,BRONCHIAL CARCINOMA diagnosis HEMOPTYSIS,diagnosis,0.308606699924184,"A chest x ray showing a large tumor like opacity in the left lower lobe and endoscopy visualizing a budding mass suggested a diagnosis of BRONCHIAL CARCINOMA in a 55 year old, tobacco smoking Cambodian who consulted for HEMOPTYSIS and altered general status.",HEMOPTYSIS,BRONCHIAL CARCINOMA
